,formula,A,B,known,vA,vB,rA,rB,lattice,Hf,stability,muB,vol,gap,Ev,dR,dV,EnegA,EnegB,dEneg,gA,gB,pA,pB,Goldschmidt
1035,CsCrO3,Cs,Cr,False,,,1.88,0.58,,,,,,,,1.2999999999999998,,0.79,1.66,-0.8699999999999999,1.0,6.0,6,4,1.2066930939813907
1036,Cs2O3,Cs,Cs,False,,,1.88,1.67,cubic,-0.241,0.887,,18.689,0.0,-1.385,0.20999999999999996,,0.79,0.79,0.0,1.0,1.0,6,6,0.7577867893944571
1037,CsCuO3,Cs,Cu,False,,,1.88,0.68,cubic,-0.291,0.708,,12.642,0.0,-2.369,1.1999999999999997,,0.79,1.9,-1.1099999999999999,1.0,11.0,6,4,1.1444924190338963
1038,CsDyO3,Cs,Dy,False,,,1.88,0.99,cubic,-2.108,0.38,0.4,18.51,0.0,-0.75,0.8899999999999999,,0.79,1.22,-0.42999999999999994,1.0,,6,6,0.9868067968558928
1039,CsErO3,Cs,Er,False,,,1.88,0.89,cubic,-2.133,0.379,0.399,18.013,0.0,-0.71,0.9899999999999999,,0.79,1.24,-0.44999999999999996,1.0,,6,6,1.0327047874073296
1040,CsEuO3,Cs,Eu,False,,,1.88,1.06,cubic,-1.424,0.577,0.6,19.375,0.0,-0.967,0.8199999999999998,,0.79,1.2,-0.4099999999999999,1.0,,6,6,0.9570324538473097
1041,CsFeO3,Cs,Fe,False,,,1.88,0.67,tetragonal,-1.164,0.289,0.693,15.308,0.0,,1.21,,0.79,1.83,-1.04,1.0,8.0,6,4,1.1504224315677507
1042,CsGaO3,Cs,Ga,False,,,1.88,0.62,cubic,-1.017,0.598,,13.428,0.0,-2.267,1.2599999999999998,,0.79,1.81,-1.02,1.0,13.0,6,4,1.1810187728328505
1043,CsGdO3,Cs,Gd,False,,,1.88,0.94,rhombohedral,-2.078,0.382,0.4,18.986,0.0,-0.807,0.94,,0.79,1.2,-0.4099999999999999,1.0,,6,6,1.009234224057163
1044,CsGeO3,Cs,Ge,False,,,1.88,0.63,tetragonal,-1.434,0.185,,15.546,0.0,-1.689,1.25,,0.79,2.01,-1.2199999999999998,1.0,14.0,6,4,1.174769996257015
1045,CsHfO3,Cs,Hf,False,,,1.88,0.71,cubic,-2.615,0.174,0.2,15.262,0.0,0.021,1.17,,0.79,1.3,-0.51,1.0,4.0,6,6,1.1270636004699284
1046,CsHgO3,Cs,Hg,False,,,1.88,1.11,cubic,-0.227,0.597,,16.515,0.0,-1.723,0.7699999999999998,,0.79,2.0,-1.21,1.0,12.0,6,6,0.9368418957492654
1047,CsHoO3,Cs,Ho,False,,,1.88,0.9,rhombohedral,-2.121,0.379,0.4,18.238,0.0,,0.9799999999999999,,0.79,1.23,-0.43999999999999995,1.0,,6,6,1.0279237467248883
1048,CsInO3,Cs,In,False,,,1.88,0.8,orthorhombic,-0.982,0.516,,16.38,0.0,-1.628,1.0799999999999998,,0.79,1.78,-0.99,1.0,13.0,6,5,1.0778229577309508
1049,CsIrO3,Cs,Ir,False,,,1.88,0.63,tetragonal,-1.021,0.24,0.002,16.099,0.0,0.372,1.25,,0.79,2.2,-1.4100000000000001,1.0,9.0,6,6,1.174769996257015
1050,CsKO3,Cs,K,False,,,1.88,1.38,cubic,0.099,1.247,,21.871,0.0,-7.081,0.5,,0.79,0.82,-0.029999999999999916,1.0,1.0,6,4,0.8410285200476361
1051,CsLaO3,Cs,La,False,,,1.88,1.03,rhombohedral,-2.066,0.354,0.4,20.151,0.0,-0.757,0.8499999999999999,,0.79,1.1,-0.31000000000000005,1.0,3.0,6,6,0.9695699969108117
1052,CsLiO3,Cs,Li,False,,,1.88,0.76,cubic,-0.212,1.078,,12.975,0.0,-3.211,1.1199999999999999,,0.79,0.98,-0.18999999999999995,1.0,1.0,6,2,1.0991659865969103
1053,CsLuO3,Cs,Lu,False,,,1.88,0.86,cubic,-2.164,0.381,0.401,17.185,0.0,-0.707,1.02,,0.79,1.27,-0.48,1.0,,6,6,1.0473185343989428
1054,CsMgO3,Cs,Mg,False,,,1.88,0.72,cubic,-1.026,0.795,,14.209,0.0,-2.138,1.16,,0.79,1.31,-0.52,1.0,2.0,6,3,1.1213713600635147
1055,CsMnO3,Cs,Mn,False,,,1.88,0.62,,,,,,,,1.2599999999999998,,0.79,1.55,-0.76,1.0,7.0,6,4,1.1810187728328505
1056,CsMoO3,Cs,Mo,False,,,1.88,0.62,tetragonal,-2.032,0.148,0.028,16.169,0.0,3.729,1.2599999999999998,,0.79,2.16,-1.37,1.0,6.0,6,5,1.1810187728328505
1057,CsNaO3,Cs,Na,False,,,1.88,1.02,cubic,-0.06,1.116,,17.112,0.0,-2.711,0.8599999999999999,,0.79,0.93,-0.14,1.0,1.0,6,3,0.9738224968972625
1058,CsNbO3,Cs,Nb,False,1.0,5.0,1.88,0.64,tetragonal,-2.601,0.075,0.0,16.947,1.792,4.366,1.2399999999999998,-4.0,0.79,1.6,-0.81,1.0,5.0,6,5,1.1685869962767153
1059,CsNdO3,Cs,Nd,False,,,1.88,0.98,cubic,-1.994,0.38,0.4,20.071,0.0,-0.76,0.8999999999999999,,0.79,1.14,-0.34999999999999987,1.0,,6,6,0.9912121843418567
1060,CsNiO3,Cs,Ni,False,,,1.88,0.59,,,,,,,,1.29,,0.79,1.91,-1.1199999999999999,1.0,10.0,6,4,1.2001704286085182
1061,CsNpO3,Cs,Np,False,,,1.88,0.86,rhombohedral,-2.767,-0.056,0.4,17.012,1.131,1.176,1.02,,0.79,1.36,-0.5700000000000001,1.0,,6,7,1.0473185343989428
1062,CsOsO3,Cs,Os,False,,,1.88,0.57,tetragonal,-1.279,0.146,0.003,15.824,0.0,,1.31,,0.79,2.2,-1.4100000000000001,1.0,8.0,6,6,1.2132870453146223
1063,CsPaO3,Cs,Pa,False,,,1.88,0.91,orthorhombic,-2.871,-0.298,0.0,17.747,3.798,5.841,0.9699999999999999,,0.79,1.5,-0.71,1.0,,6,7,1.0231867709335296
1064,CsPbO3,Cs,Pb,False,,,1.88,0.99,rhombohedral,-0.951,0.274,,17.288,0.0,-1.132,0.8899999999999999,,0.79,2.33,-1.54,1.0,14.0,6,6,0.9868067968558928
1065,CsPdO3,Cs,Pd,False,,,1.88,0.75,tetragonal,-0.589,0.313,,15.932,0.0,-1.269,1.13,,0.79,2.2,-1.4100000000000001,1.0,10.0,6,5,1.1046344740924174
1066,CsPmO3,Cs,Pm,False,,,1.88,0.97,cubic,-2.019,0.383,0.4,19.667,0.0,-0.786,0.9099999999999999,,0.79,1.13,-0.33999999999999986,1.0,,6,6,0.9956570820294882
1067,CsPrO3,Cs,Pr,False,,,1.88,0.92,cubic,-1.973,0.378,0.4,20.493,0.0,-0.746,0.9599999999999999,,0.79,1.13,-0.33999999999999986,1.0,,6,6,1.0184932536356692
1068,CsPtO3,Cs,Pt,False,,,1.88,0.67,tetragonal,-0.724,0.278,0.174,16.274,0.0,-0.777,1.21,,0.79,2.28,-1.4899999999999998,1.0,10.0,6,6,1.1504224315677507
1069,CsPuO3,Cs,Pu,False,,,1.88,0.83,cubic,-2.492,-0.051,0.6,17.584,0.0,,1.0499999999999998,,0.79,1.28,-0.49,1.0,,6,7,1.062351814797014
1070,CsRbO3,Cs,Rb,False,,,1.88,1.52,cubic,0.101,1.234,,20.592,0.0,-2.456,0.3599999999999999,,0.79,0.82,-0.029999999999999916,1.0,1.0,6,5,0.7986745658006327
1071,CsReO3,Cs,Re,False,1.0,5.0,1.88,0.58,tetragonal,-1.663,0.267,0.207,16.777,0.0,3.478,1.2999999999999998,-4.0,0.79,1.9,-1.1099999999999999,1.0,7.0,6,6,1.2066930939813907
1072,CsRhO3,Cs,Rh,False,,,1.88,0.61,tetragonal,-0.944,0.216,0.385,16.097,0.0,-0.371,1.27,,0.79,2.28,-1.4899999999999998,1.0,9.0,6,5,1.1873343812437214
1073,CsRuO3,Cs,Ru,False,1.0,5.0,1.88,0.57,tetragonal,-1.157,0.264,0.002,14.074,0.0,0.864,1.31,-4.0,0.79,2.2,-1.4100000000000001,1.0,8.0,6,5,1.2132870453146223
1074,CsSbO3,Cs,Sb,False,1.0,5.0,1.88,0.6,tetragonal,-1.628,0.179,,18.125,0.0,0.82,1.2799999999999998,-4.0,0.79,2.05,-1.2599999999999998,1.0,15.0,6,5,1.193717899422451
1075,CsScO3,Cs,Sc,False,,,1.88,0.75,rhombohedral,-2.068,0.4,0.401,15.603,0.0,-1.006,1.13,,0.79,1.36,-0.5700000000000001,1.0,3.0,6,4,1.1046344740924174
1076,CsSiO3,Cs,Si,False,,,1.88,0.4,cubic,-1.435,1.05,,11.283,0.0,-1.86,1.48,,0.79,1.9,-1.1099999999999999,1.0,14.0,6,3,1.3375393330878065
1077,CsSmO3,Cs,Sm,False,,,1.88,0.96,rhombohedral,-2.031,0.383,0.4,19.57,0.0,-0.817,0.9199999999999999,,0.79,1.17,-0.3799999999999999,1.0,,6,6,1.0001420238404322
1078,CsSnO3,Cs,Sn,False,,,1.88,0.69,cubic,-1.378,0.308,,15.157,0.0,-0.745,1.19,,0.79,1.96,-1.17,1.0,14.0,6,5,1.1386232271414147
1079,CsSrO3,Cs,Sr,False,,,1.88,1.18,cubic,-1.055,0.765,,21.056,0.0,-1.786,0.7,,0.79,0.95,-0.15999999999999992,1.0,2.0,6,5,0.9099652839859668
1080,CsTaO3,Cs,Ta,False,1.0,5.0,1.88,0.64,tetragonal,-2.796,0.049,0.0,16.951,2.565,,1.2399999999999998,-4.0,0.79,1.5,-0.71,1.0,5.0,6,6,1.1685869962767153
1081,CsTbO3,Cs,Tb,False,,,1.88,0.84,cubic,-1.962,0.381,0.4,18.761,0.0,-0.762,1.04,,0.79,1.2,-0.4099999999999999,1.0,,6,6,1.0572929966313136
1082,CsTcO3,Cs,Tc,False,,,1.88,0.6,tetragonal,-1.629,0.174,0.293,16.06,0.0,2.437,1.2799999999999998,,0.79,1.9,-1.1099999999999999,1.0,7.0,6,5,1.193717899422451
1083,CsTeO3,Cs,Te,False,1.0,5.0,1.88,0.77,tetragonal,-1.442,0.123,,17.715,0.0,0.598,1.1099999999999999,-4.0,0.79,2.1,-1.31,1.0,16.0,6,5,1.0937513758254969
1084,CsThO3,Cs,Th,False,,,1.88,0.94,tetragonal,-2.816,0.211,0.199,19.628,0.0,0.428,0.94,,0.79,1.3,-0.51,1.0,,6,7,1.009234224057163
1085,CsTiO3,Cs,Ti,False,,,1.88,0.71,tetragonal,-2.307,0.123,0.186,15.266,0.0,-0.798,1.17,,0.79,1.54,-0.75,1.0,4.0,6,4,1.1270636004699284
1086,CsTlO3,Cs,Tl,False,,,1.88,1.2,orthorhombic,-0.567,0.465,,17.835,0.0,-1.745,0.6799999999999999,,0.79,2.04,-1.25,1.0,13.0,6,6,0.9025671922462434
1087,CsTmO3,Cs,Tm,False,,,1.88,0.96,rhombohedral,-2.15,0.379,0.4,17.713,0.0,-0.703,0.9199999999999999,,0.79,1.25,-0.45999999999999996,1.0,,6,6,1.0001420238404322
1088,CsUO3,Cs,U,False,1.0,5.0,1.88,0.76,orthorhombic,-3.045,0.01,0.2,17.228,2.721,4.067,1.1199999999999999,-4.0,0.79,1.38,-0.5899999999999999,1.0,,6,7,1.0991659865969103
1089,CsVO3,Cs,V,False,,,1.88,0.64,cubic,-1.781,0.6,0.0,12.665,0.0,0.368,1.2399999999999998,,0.79,1.63,-0.8399999999999999,1.0,5.0,6,4,1.1685869962767153
1090,CsWO3,Cs,W,False,,,1.88,0.63,tetragonal,-2.119,0.086,-0.001,16.497,0.0,4.755,1.25,,0.79,2.36,-1.5699999999999998,1.0,6.0,6,6,1.174769996257015
1091,CsYO3,Cs,Y,False,,,1.88,0.9,cubic,-2.091,0.377,0.4,18.654,0.0,-0.732,0.9799999999999999,,0.79,1.22,-0.42999999999999994,1.0,3.0,6,5,1.0279237467248883
1092,CsYbO3,Cs,Yb,False,,,1.88,0.95,cubic,-1.296,0.75,,17.725,0.0,-1.53,0.9299999999999999,,0.79,1.1,-0.31000000000000005,1.0,,6,6,1.004667553360072
1093,CsZnO3,Cs,Zn,False,,,1.88,0.74,cubic,-0.533,0.769,,13.697,0.0,-2.463,1.14,,0.79,1.65,-0.8599999999999999,1.0,12.0,6,4,1.1101576464628795
1094,CsZrO3,Cs,Zr,False,,,1.88,0.72,cubic,-2.502,0.208,0.2,15.888,0.0,-0.121,1.16,,0.79,1.33,-0.54,1.0,4.0,6,5,1.1213713600635147
1095,CuAcO3,Cu,Ac,False,,,0.68,1.12,rhombohedral,-2.023,0.218,0.401,16.494,0.297,-2.485,-0.44000000000000006,,1.9,1.1,0.7999999999999998,11.0,3.0,4,7,0.5763811577739084
1096,CuAgO3,Cu,Ag,False,,,0.68,0.95,orthorhombic,-0.23,0.224,,10.506,0.0,-3.439,-0.2699999999999999,,1.9,1.93,-0.030000000000000027,11.0,11.0,4,5,0.620718169910363
1097,CuAlO3,Cu,Al,False,,,0.68,0.54,cubic,-1.398,0.557,,9.647,0.0,-2.208,0.14,,1.9,1.61,0.2899999999999998,11.0,13.0,4,3,0.7621039752788344
1098,CuAsO3,Cu,As,False,1.0,5.0,0.77,0.46,rhombohedral,-1.028,0.154,,9.505,0.0,0.91,0.31,-4.0,1.9,2.18,-0.28000000000000025,11.0,15.0,4,4,0.8345504452376113
1099,CuAuO3,Cu,Au,False,,,0.68,0.93,cubic,0.382,0.845,,12.838,0.0,-1.702,-0.25,,1.9,2.54,-0.6400000000000001,11.0,11.0,4,6,0.6263868289963024
1100,CuBO3,Cu,B,False,3.0,3.0,0.54,0.27,cubic,-0.524,1.118,,7.313,0.0,-3.221,0.27,0.0,1.9,2.04,-0.14000000000000012,11.0,13.0,4,2,0.831890330807703
1101,CuBaO3,Cu,Ba,False,,,0.68,1.35,orthorhombic,-1.435,0.159,,15.514,0.0,-8.108,-0.67,,1.9,0.89,1.0099999999999998,11.0,2.0,4,6,0.5255889484681616
1102,CuBeO3,Cu,Be,False,,,0.68,0.45,cubic,-0.649,0.86,,7.822,0.0,-3.966,0.23000000000000004,,1.9,1.57,0.32999999999999985,11.0,2.0,4,2,0.8022147108198258
1103,CuBiO3,Cu,Bi,False,1.0,5.0,0.77,0.76,rhombohedral,-0.999,0.095,,12.822,0.0,-0.242,0.010000000000000009,-4.0,1.9,2.02,-0.1200000000000001,11.0,15.0,4,6,0.710607309806283
1104,CuCaO3,Cu,Ca,False,,,0.68,1.0,orthorhombic,-1.457,0.17,,11.668,0.0,,-0.31999999999999995,,1.9,1.0,0.8999999999999999,11.0,2.0,4,4,0.6069854670362399
1105,CuCdO3,Cu,Cd,False,,,0.68,0.95,cubic,0.286,1.103,,13.619,0.0,-5.395,-0.2699999999999999,,1.9,1.69,0.20999999999999996,11.0,12.0,4,5,0.620718169910363
1106,CuCeO3,Cu,Ce,False,,,0.68,0.94,rhombohedral,-1.953,0.204,0.4,15.973,0.464,-4.235,-0.2599999999999999,,1.9,1.12,0.7799999999999998,11.0,,4,6,0.6235396161372282
1107,CuCoO3,Cu,Co,False,2.0,4.0,0.73,0.53,cubic,-0.389,0.56,0.75,9.845,0.0,-1.005,0.19999999999999996,-2.0,1.9,1.88,0.020000000000000018,11.0,9.0,4,4,0.7861131254532008
1108,CuCrO3,Cu,Cr,False,1.0,5.0,0.77,0.49,cubic,-1.078,0.52,0.2,10.174,0.0,-0.457,0.28,-4.0,1.9,1.66,0.24,11.0,6.0,4,4,0.8202438661763952
1109,CuCsO3,Cu,Cs,False,,,0.68,1.67,cubic,0.678,1.677,,16.147,0.0,-2.165,-0.9899999999999999,,1.9,0.79,1.1099999999999999,11.0,1.0,4,6,0.46818674249211684
1110,Cu2O3,Cu,Cu,False,,,0.68,0.68,cubic,0.04,0.685,,9.94,0.0,-3.296,0.0,,1.9,1.9,0.0,11.0,11.0,4,4,0.7071067811865475
1111,CuDyO3,Cu,Dy,False,,,0.68,0.99,rhombohedral,-2.062,0.267,0.4,13.329,0.373,-3.666,-0.30999999999999994,,1.9,1.22,0.6799999999999999,11.0,,4,6,0.6096831802230676
1112,CuErO3,Cu,Er,False,,,0.68,0.89,cubic,-1.258,1.09,-0.016,15.678,0.0,-4.064,-0.20999999999999996,,1.9,1.24,0.6599999999999999,11.0,,4,6,0.6380405374427451
1113,CuEuO3,Cu,Eu,False,,,0.68,1.06,orthorhombic,-1.738,0.104,0.2,12.733,0.0,-6.969,-0.38,,1.9,1.2,0.7,11.0,,4,6,0.5912875670266818
1114,CuFeO3,Cu,Fe,False,2.0,4.0,0.73,0.59,cubic,-0.649,0.508,0.959,10.271,0.0,-1.512,0.14,-2.0,1.9,1.83,0.06999999999999984,11.0,8.0,4,4,0.7606175646276916
1115,CuGaO3,Cu,Ga,False,,,0.68,0.62,cubic,-0.625,0.748,,10.951,0.0,-3.441,0.06000000000000005,,1.9,1.81,0.08999999999999986,11.0,13.0,4,4,0.7296740188839905
1116,CuGdO3,Cu,Gd,False,,,0.68,0.94,rhombohedral,-2.036,0.271,0.4,13.667,0.342,-4.248,-0.2599999999999999,,1.9,1.2,0.7,11.0,,4,6,0.6235396161372282
1117,CuGeO3,Cu,Ge,False,2.0,4.0,0.73,0.53,cubic,-0.911,0.545,,10.115,0.0,-0.446,0.19999999999999996,-2.0,1.9,2.01,-0.10999999999999988,11.0,14.0,4,4,0.7861131254532008
1118,CuHfO3,Cu,Hf,False,,,0.68,0.71,cubic,-2.027,0.599,0.201,13.388,0.0,-0.592,-0.029999999999999916,,1.9,1.3,0.5999999999999999,11.0,4.0,4,6,0.6963386576151788
1119,CuHgO3,Cu,Hg,False,,,0.68,1.11,orthorhombic,-0.195,0.309,,11.6,0.0,-4.205,-0.43000000000000005,,1.9,2.0,-0.10000000000000009,11.0,12.0,4,6,0.5788131457813933
1120,CuHoO3,Cu,Ho,False,,,0.68,0.9,rhombohedral,-2.075,0.263,0.399,13.217,0.384,-3.538,-0.21999999999999997,,1.9,1.23,0.6699999999999999,11.0,,4,6,0.6350866460656954
1121,CuInO3,Cu,In,False,,,0.68,0.8,cubic,-0.28,0.964,,13.835,0.0,-4.021,-0.12,,1.9,1.78,0.11999999999999988,11.0,13.0,4,5,0.665916094903836
1122,CuIrO3,Cu,Ir,False,1.0,5.0,0.77,0.57,cubic,-0.389,0.572,0.248,11.438,0.0,0.844,0.20000000000000007,-4.0,1.9,2.2,-0.30000000000000027,11.0,9.0,4,6,0.7843862108244215
1123,CuKO3,Cu,K,False,,,0.68,1.38,cubic,1.129,2.138,,16.91,0.0,-4.542,-0.6999999999999998,,1.9,0.82,1.08,11.0,1.0,4,4,0.5196163467810236
1124,CuLaO3,Cu,La,False,,,0.68,1.03,rhombohedral,-2.025,0.239,0.4,15.024,0.263,-3.569,-0.35,,1.9,1.1,0.7999999999999998,11.0,3.0,4,6,0.5990336923589092
1125,CuLiO3,Cu,Li,False,,,0.68,0.76,cubic,0.142,1.197,,8.729,0.0,-7.168,-0.07999999999999996,,1.9,0.98,0.9199999999999999,11.0,1.0,4,2,0.6791025522286643
1126,CuLuO3,Cu,Lu,False,,,0.68,0.86,cubic,-1.336,0.991,-0.005,15.015,0.0,-3.845,-0.17999999999999994,,1.9,1.27,0.6299999999999999,11.0,,4,6,0.6470694129725952
1127,CuMgO3,Cu,Mg,False,,,0.68,0.72,cubic,-0.519,0.999,,11.107,0.0,-4.654,-0.039999999999999925,,1.9,1.31,0.5899999999999999,11.0,2.0,4,3,0.6928217957080314
1128,CuMnO3,Cu,Mn,False,2.0,4.0,0.73,0.53,cubic,-0.835,0.558,0.4,10.248,0.0,-1.681,0.19999999999999996,-2.0,1.9,1.55,0.34999999999999987,11.0,7.0,4,4,0.7861131254532008
1129,CuMoO3,Cu,Mo,False,1.0,5.0,0.77,0.61,rhombohedral,-1.645,0.089,0.0,10.565,0.0,3.985,0.16000000000000003,-4.0,1.9,2.16,-0.26000000000000023,11.0,6.0,4,5,0.7676078961543805
1130,CuNaO3,Cu,Na,False,,,0.68,1.02,cubic,0.744,1.752,,12.732,0.0,-11.78,-0.33999999999999997,,1.9,0.93,0.9699999999999999,11.0,1.0,4,3,0.6016610331148693
1131,CuNbO3,Cu,Nb,False,1.0,5.0,0.77,0.64,rhombohedral,-2.121,0.066,0.0,11.121,0.787,4.362,0.13,-4.0,1.9,1.6,0.2999999999999998,11.0,5.0,4,5,0.7554877714782587
1132,CuNdO3,Cu,Nd,False,,,0.68,0.98,rhombohedral,-1.961,0.298,0.4,14.573,0.356,-3.862,-0.29999999999999993,,1.9,1.14,0.76,11.0,,4,6,0.6124049801347777
1133,CuNiO3,Cu,Ni,False,2.0,4.0,0.73,0.48,cubic,-0.121,0.698,0.558,9.833,0.0,-2.679,0.25,-2.0,1.9,1.91,-0.010000000000000009,11.0,10.0,4,4,0.8087025830811664
1134,CuNpO3,Cu,Np,False,,,0.68,0.86,cubic,-1.931,0.618,0.389,15.268,0.0,2.687,-0.17999999999999994,,1.9,1.36,0.5399999999999998,11.0,,4,7,0.6470694129725952
1135,CuOsO3,Cu,Os,False,,,0.68,0.57,rhombohedral,-1.0,0.045,0.001,10.191,0.0,2.299,0.1100000000000001,,1.9,2.2,-0.30000000000000027,11.0,8.0,4,6,0.7496104674873781
1136,CuPaO3,Cu,Pa,False,,,0.68,0.91,rhombohedral,-2.425,-0.243,0.0,13.659,2.633,4.128,-0.22999999999999998,,1.9,1.5,0.3999999999999999,11.0,,4,7,0.6321599794939642
1137,CuPbO3,Cu,Pb,False,,,0.68,0.99,rhombohedral,-0.827,0.164,,12.845,0.0,-2.508,-0.30999999999999994,,1.9,2.33,-0.43000000000000016,11.0,14.0,4,6,0.6096831802230676
1138,CuPdO3,Cu,Pd,False,,,0.68,0.75,cubic,0.086,0.699,,11.833,0.0,-2.63,-0.06999999999999995,,1.9,2.2,-0.30000000000000027,11.0,10.0,4,5,0.6824811718914937
1139,CuPmO3,Cu,Pm,False,,,0.68,0.97,rhombohedral,-1.98,0.224,0.4,14.195,0.366,-3.828,-0.2899999999999999,,1.9,1.13,0.77,11.0,,4,6,0.6151511908080278
1140,CuPrO3,Cu,Pr,False,,,0.68,0.92,rhombohedral,-1.938,0.234,0.4,14.773,0.342,-3.905,-0.24,,1.9,1.13,0.77,11.0,,4,6,0.6292601630742669
1141,CuPtO3,Cu,Pt,False,,,0.68,0.67,cubic,-0.034,0.733,0.318,11.993,0.0,-0.639,0.010000000000000009,,1.9,2.28,-0.3799999999999999,11.0,10.0,4,6,0.7107705468921772
1142,CuPuO3,Cu,Pu,False,,,0.68,0.83,cubic,-1.756,0.523,0.601,15.125,0.801,0.726,-0.1499999999999999,,1.9,1.28,0.6199999999999999,11.0,,4,7,0.6563574906707667
1143,CuRbO3,Cu,Rb,False,,,0.68,1.52,cubic,1.095,2.094,,15.595,0.0,-14.336,-0.84,,1.9,0.82,1.08,11.0,1.0,4,5,0.4934486170870151
1144,CuReO3,Cu,Re,False,1.0,5.0,0.77,0.58,rhombohedral,-1.324,0.196,0.0,10.363,0.0,3.638,0.19000000000000006,-4.0,1.9,1.9,0.0,11.0,7.0,4,6,0.7801232422873324
1145,CuRhO3,Cu,Rh,False,2.0,4.0,0.73,0.6,cubic,-0.302,0.643,0.453,11.424,0.0,-0.321,0.13,-2.0,1.9,2.28,-0.3799999999999999,11.0,9.0,4,5,0.7565282228823815
1146,CuRuO3,Cu,Ru,False,1.0,5.0,0.77,0.57,orthorhombic,-0.955,0.128,0.199,9.792,0.0,1.467,0.20000000000000007,-4.0,1.9,2.2,-0.30000000000000027,11.0,8.0,4,5,0.7843862108244215
1147,CuSbO3,Cu,Sb,False,1.0,5.0,0.77,0.6,rhombohedral,-1.305,0.03,,11.001,0.0,2.079,0.17000000000000004,-4.0,1.9,2.05,-0.1499999999999999,11.0,15.0,4,5,0.7717348203272536
1148,CuScO3,Cu,Sc,False,,,0.68,0.75,cubic,-1.431,0.806,0.339,13.325,0.0,-3.057,-0.06999999999999995,,1.9,1.36,0.5399999999999998,11.0,3.0,4,4,0.6824811718914937
1149,CuSiO3,Cu,Si,False,,,0.68,0.4,cubic,-1.607,0.559,,8.578,0.0,0.45,0.28,,1.9,1.9,0.0,11.0,14.0,4,3,0.826377804519218
1150,CuSmO3,Cu,Sm,False,,,0.68,0.96,rhombohedral,-1.991,0.274,0.399,14.041,0.368,-3.935,-0.2799999999999999,,1.9,1.17,0.73,11.0,,4,6,0.617922142117974
1151,CuSnO3,Cu,Sn,False,,,0.68,0.69,cubic,-0.828,0.666,,12.973,0.0,-1.033,-0.009999999999999898,,1.9,1.96,-0.06000000000000005,11.0,14.0,4,5,0.703480592565078
1152,CuSrO3,Cu,Sr,False,,,0.68,1.18,orthorhombic,-1.409,0.209,,13.148,0.0,-8.824,-0.4999999999999999,,1.9,0.95,0.95,11.0,2.0,4,5,0.5622078506155337
1153,CuTaO3,Cu,Ta,False,1.0,5.0,0.77,0.64,orthorhombic,-2.32,0.077,0.0,10.912,1.36,5.237,0.13,-4.0,1.9,1.5,0.3999999999999999,11.0,5.0,4,6,0.7554877714782587
1154,CuTbO3,Cu,Tb,False,,,0.68,0.84,rhombohedral,-1.918,0.224,0.399,13.473,0.366,-3.729,-0.15999999999999992,,1.9,1.2,0.7,11.0,,4,6,0.6532319788104295
1155,CuTcO3,Cu,Tc,False,,,0.68,0.6,rhombohedral,-1.295,0.056,0.0,10.239,0.0,2.996,0.08000000000000007,,1.9,1.9,0.0,11.0,7.0,4,5,0.7375199760762915
1156,CuTeO3,Cu,Te,False,2.0,4.0,0.73,0.97,rhombohedral,-0.951,0.151,,11.749,0.0,1.048,-0.24,-2.0,1.9,2.1,-0.20000000000000018,11.0,16.0,4,5,0.6310056029422554
1157,CuThO3,Cu,Th,False,,,0.68,0.94,cubic,-1.922,0.943,-0.029,17.768,0.0,-1.294,-0.2599999999999999,,1.9,1.3,0.5999999999999999,11.0,,4,7,0.6235396161372282
1158,CuTiO3,Cu,Ti,False,2.0,4.0,0.73,0.61,orthorhombic,-2.142,0.126,0.2,9.718,0.653,-0.66,0.12,-2.0,1.9,1.54,0.3599999999999999,11.0,4.0,4,4,0.7524826174124222
1159,CuTlO3,Cu,Tl,False,,,0.68,1.2,rhombohedral,-0.494,0.297,,13.088,0.0,-4.277,-0.5199999999999999,,1.9,2.04,-0.14000000000000012,11.0,13.0,4,6,0.557637055082074
1160,CuTmO3,Cu,Tm,False,,,0.68,0.96,rhombohedral,-2.098,0.212,0.4,12.846,0.384,-4.013,-0.2799999999999999,,1.9,1.25,0.6499999999999999,11.0,,4,6,0.617922142117974
1161,CuUO3,Cu,U,False,1.0,5.0,0.77,0.76,rhombohedral,-2.609,0.011,0.2,13.29,1.769,3.288,0.010000000000000009,-4.0,1.9,1.38,0.52,11.0,,4,7,0.710607309806283
1162,CuVO3,Cu,V,False,1.0,5.0,0.77,0.54,orthorhombic,-1.737,0.111,0.0,9.48,0.343,1.779,0.22999999999999998,-4.0,1.9,1.63,0.27,11.0,5.0,4,4,0.797459314338162
1163,CuWO3,Cu,W,False,1.0,5.0,0.77,0.62,rhombohedral,-1.739,0.217,-0.001,10.669,0.0,4.639,0.15000000000000002,-4.0,1.9,2.36,-0.45999999999999996,11.0,6.0,4,6,0.7635248754301551
1164,CuYO3,Cu,Y,False,,,0.68,0.9,rhombohedral,-2.041,0.266,0.401,13.364,0.37,-4.218,-0.21999999999999997,,1.9,1.22,0.6799999999999999,11.0,3.0,4,5,0.6350866460656954
1165,CuYbO3,Cu,Yb,False,,,0.68,0.95,orthorhombic,-1.595,0.275,,11.075,0.0,-6.856,-0.2699999999999999,,1.9,1.1,0.7999999999999998,11.0,,4,6,0.620718169910363
